MATCH UP,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PACE/40,PIE
"Jul 17, 2024 - IND @ DAL",L,40,112,118.8,-6.8,67.9,3.17,43.2,0,15,7.7,13.6,57.9,59.1,26.3,100.8,84,17.8
"Jul 14, 2024 - IND @ MIN",W,37,102.8,101.4,1.4,26.1,1,19.4,0,7.5,3.9,19.4,35.3,44.3,29.8,92.11,76.76,6
"Jul 12, 2024 - IND vs. PHO",W,38,111.1,101.3,9.9,43.3,2.17,37.1,2.3,11.9,7.1,17.1,56.3,59.2,22,100.54,83.78,16.4
"Jul 10, 2024 - IND vs. WAS",L,38,98.8,102.5,-3.8,59.1,2.6,35.1,3.6,9.8,7.2,13.5,67.9,77,27.9,101.66,84.72,26.9
"Jul 06, 2024 - IND vs. NYL",W,39,106.4,97.4,9,52,3.25,38.2,0,27.9,15.8,11.8,50,53.1,24.1,96.1,80.08,20.4
"Jul 02, 2024 - IND @ LVA",L,38,87,111.7,-24.7,47.8,1.83,36.7,0,15.4,6.7,20,37.5,47.2,19.8,97.91,81.59,8.9
"Jun 30, 2024 - IND @ PHO",W,39,106.3,101.2,5,50,2,35.3,0,22,11.4,17.6,35.7,45.1,24.2,98.01,81.67,13.2
"Jun 27, 2024 - IND @ SEA",L,39,98.7,105.1,-6.4,28,1.17,29.2,0,15.4,7.7,25,61.1,67,18.3,97.3,81.08,10.5
"Jun 23, 2024 - IND @ CHI",L,40,103.6,106,-2.5,48.1,2.6,43.3,0,17.1,8.2,16.7,68.2,69,19.1,100.26,83.55,15.6
"Jun 21, 2024 - IND @ ATL",W,35,109.7,93,16.8,25.9,1,26.9,0,9.3,5.6,26.9,66.7,64.3,24.7,98.21,81.84,7.8
"Jun 19, 2024 - IND vs. WAS",W,37,112.2,95.9,16.2,26.1,1,23.1,3.4,28.2,17.6,23.1,58.3,65.4,25,97.03,80.86,17.9
"Jun 16, 2024 - IND vs. CHI",W,37,119.4,105.6,13.9,34.6,1.8,33.3,0,17,10.7,18.5,77.3,84.3,22.2,93.74,78.12,20.6
"Jun 13, 2024 - IND vs. ATL",W,35,111.8,107.2,4.5,25,0.86,25,2.9,7.9,5.6,29.2,31.8,31.8,22.2,95.03,79.19,1.3
"Jun 10, 2024 - IND @ CON",L,22,75,140,-65,20,0.67,14.3,0,0,0,21.4,50,56.3,26.1,97.24,81.03,1.1
"Jun 07, 2024 - IND @ WAS",W,39,107.6,103.9,3.7,30,0.75,18.2,3,17.1,10.8,24.2,76.7,81,31.4,96.6,80.5,20.4
"Jun 02, 2024 - IND @ NYL",L,29,78.7,128.8,-50.1,27.8,1.67,27.8,0,11.1,3.8,16.7,15,15,18.8,99.88,83.24,-1.2
"Jun 01, 2024 - IND vs. CHI",W,37,86.5,90.4,-3.9,30,1.2,27.3,2.4,17.5,9.8,22.7,45.5,48.1,19,94.71,78.93,12.9
"May 30, 2024 - IND vs. SEA",L,40,106,121.7,-15.7,39.1,1.29,25.7,2.4,5.9,4,20,44.1,52.1,27.1,99.77,83.14,6.8
"May 28, 2024 - IND vs. LAS",L,34,101.4,97.2,4.2,40,0.86,17.1,0,17.9,7.6,20,53.1,66.4,34.5,100.68,83.9,25.9
"May 25, 2024 - IND @ LVA",L,29,85.5,114.5,-29,36.8,1.17,31.8,0,16.7,7.9,27.3,37.5,45,22.1,104.36,86.97,5.9
"May 24, 2024 - IND @ LAS",W,37,92.3,89.6,2.7,34.8,4,32,2.7,31,15.2,8,35.7,37,20.2,100.91,84.09,15.7
"May 22, 2024 - IND @ SEA",L,33,107.4,101.5,5.8,31.8,2.33,23.3,2.7,14.3,8.9,10,43.8,52.6,27.4,96.93,80.77,16.9
"May 20, 2024 - IND vs. CON",L,27,101.8,131.6,-29.8,29.4,1,21.7,0,10,5.8,21.7,59.1,66.6,27.7,98.98,82.49,10
"May 18, 2024 - IND @ NYL",L,35,94.7,109.6,-14.9,40,1,24.2,5,13.8,8.7,24.2,64.7,64.7,28.4,103.08,85.9,12.9
"May 16, 2024 - IND vs. NYL",L,30,78,122.8,-44.8,42.9,2,31.6,0,21.9,11.1,15.8,31.3,46.1,18.8,92.39,76.99,9.8
"May 14, 2024 - IND @ CON",L,33,90,108.6,-18.6,18.8,0.3,9.7,0,0,0,32.3,46.7,56.7,37.8,103.54,86.29,0.9